Episode,Time Survived (seconds)
1,19.59394598007202
2,14.329427480697632
3,10.789257764816284
4,4.222430944442749
5,7.737689971923828
6,24.481522798538208
7,10.2498779296875
8,32.7708375453949
9,39.36906313896179
10,9.45407223701477
21,19.01882290840149
22,13.878179550170898
23,12.92368197441101
24,22.04849910736084
25,21.691323280334473
26,7.725852012634277
27,7.669075012207031
28,22.575230598449707
29,8.25724744796753
30,60.86045479774475
51,53.14027953147888
52,11.211622476577759
53,31.156877994537354
54,37.9068968296051
55,10.366218090057373
56,19.63460659980774
57,24.923243045806885
58,16.419111013412476
59,19.89921545982361
60,14.035913944244385
91,14.02573847770691
92,25.09014868736267
93,23.363439798355103
94,19.037278652191162
95,19.02968740463257
96,11.200492143630981
97,13.779606103897095
98,29.421239614486694
99,23.365942001342773
100,16.38882350921631
141,16.420944213867188
142,16.5514178276062
143,13.799418687820435
144,12.910767555236816
145,13.782431602478027
146,17.26416826248169
147,13.150811910629272
148,11.542249917984009
149,23.397851943969727
150,25.084646463394165
201,7.199946880340576
202,7.7471396923065186
203,19.152425289154053
204,14.069151401519775
205,19.033501386642456
206,25.23772430419922
207,19.014986991882324
208,33.321351051330566
209,28.864105701446533
210,19.029613494873047
271,33.19572639465332
272,39.88222885131836
273,25.14493989944458
274,22.09852433204651
275,23.126587629318237
276,15.832746505737305
277,25.071131944656372
278,16.594132661819458
279,4.791661024093628
280,23.680381774902344
351,4.622251749038696
352,11.204280853271484
353,19.838359832763672
354,23.49714469909668
355,13.799671173095703
356,23.440056085586548
357,19.03016686439514
358,27.812559127807617
359,27.858608722686768
360,25.156548261642456
441,23.544522285461426
442,19.92431902885437
443,25.029059410095215
444,10.376963376998901
445,22.504846334457397
446,31.221532106399536
447,26.1592059135437
448,7.369901657104492
449,13.838984727859497
450,7.876044988632202
541,4.887105464935303
542,60.60368275642395
543,10.3695387840271
544,7.440106391906738
545,4.9408488273620605
546,24.83825969696045
547,25.30783176422119
548,16.312068462371826
549,10.356786727905273
550,19.90730047225952
551,8.413971424102783
552,34.90314316749573
553,17.460137128829956
554,17.30643367767334
555,12.962793827056885
556,11.217221736907959
557,19.038398504257202
558,39.908032178878784
559,17.656065225601196
560,37.31026268005371
571,11.226918458938599
572,39.87408661842346
573,27.97798490524292
574,30.89803719520569
575,16.52822208404541
576,16.982499837875366
577,14.667327404022217
578,13.787434816360474
579,14.271873235702515
580,21.005820989608765
601,14.44654107093811
602,14.206607580184937
603,22.76028037071228
604,23.433894634246826
605,22.483245372772217
606,11.374680519104004
607,26.257330894470215
608,25.251821517944336
609,11.44785213470459
610,16.258230447769165
641,17.48372197151184
642,17.374058723449707
643,10.345385789871216
644,30.972702026367188
645,22.130208730697632
646,28.920321226119995
647,20.030961513519287
648,60.26169490814209
649,11.171634435653687
650,13.770702362060547
691,43.52051305770874
692,10.363604068756104
693,13.748208999633789
694,27.59212327003479
695,12.889488220214844
696,42.16544771194458
697,11.361387729644775
698,20.065372705459595
699,10.438316822052002
700,13.723832607269287
751,8.439618587493896
752,19.26577854156494
753,17.397867679595947
754,9.921569585800171
755,60.06581950187683
756,19.885997533798218
757,11.099574327468872
758,20.186355352401733
759,4.095014572143555
760,23.40400218963623
821,60.16283464431763
822,17.166800498962402
823,28.592119455337524
824,37.02678084373474
825,16.263469219207764
826,10.95490574836731
827,14.191449403762817
828,19.23881959915161
829,15.876132249832153
830,30.938467741012573
901,4.062450170516968
902,28.890610218048096
903,19.061984062194824
904,8.138363122940063
905,22.647176504135132
906,29.464284658432007
907,10.339011907577515
908,12.90926218032837
909,11.442212581634521
910,8.387469053268433
991,10.40442442893982
992,13.967472791671753
993,13.05794644355774
994,8.497597932815552
995,7.587347030639648
996,21.913751125335693
997,11.367902517318726
998,7.888275623321533
999,42.29805588722229
1000,13.86573338508606
1091,13.435065984725952
1092,11.687265872955322
1093,21.571386337280273
1094,13.945966720581055
1095,4.428968667984009
1096,10.395626068115234
1097,14.137142181396484
1098,10.380613327026367
1099,13.843742847442627
1100,22.60618257522583
